Estacion;Fecha;Particulas;Limite350µgSO2;Limite125µgSO2;Limite10mgCO;Limite200µgNO2;Limite240µgOZONO;Limite180µgOZONO;Limite120µgOZONO
PARQUE PURIFICACIÓN TOMÁS;2011;9;1;0;0;0;0;0;3
PARQUE PURIFICACIÓN TOMÁS;2008;0;1;2;0;0;0;0;0
PLAZA DE TOROS           ;2014;5;0;0;0;0;0;0;0
PLAZA DE TOROS           ;2006;13;9;2;0;0;0;0;3
TRUBIA                   ;2006;20;1;0;0;3;0;0;7
TRUBIA                   ;2008;4;0;0;0;0;0;0;0
PALACIO DE DEPORTES      ;2006;65* ;3;0;0;0;0;0;1
PLAZA DE TOROS           ;2011;12;1;1;0;0;0;0;3
PLAZA DE TOROS           ;2009;72* ;0;0;0;3;0;0;0
TRUBIA                   ;2012;9;0;0;0;0;0;0;7
TRUBIA                   ;2010;0;0;0;0;0;0;0;6
PARQUE PURIFICACIÓN TOMÁS;2015;7;3;0;0;0;0;0;0
PARQUE PURIFICACIÓN TOMÁS;2013;4;1;0;0;0;0;0;3
TRUBIA                   ;2013;4;0;0;0;0;0;0;7
PARQUE PURIFICACIÓN TOMÁS;2009;10;1;0;0;0;0;0;0
PARQUE PURIFICACIÓN TOMÁS;2006;25;26*;5*;0;0;0;0;4
PALACIO DE DEPORTES      ;2015;22;0;0;0;0;0;0;0
PLAZA DE TOROS           ;2007;14;3;1;0;0;0;0;0
TRUBIA                   ;2005;74* ;8;0;0;0;0;2;11
PALACIO DE DEPORTES      ;2011;27;0;0;0;0;0;0;3
TRUBIA                   ;2015;3;0;0;0;0;0;0;1
PALACIO DE DEPORTES      ;2009;51* ;0;0;0;0;0;0;1
PARQUE PURIFICACIÓN TOMÁS;2010;0;1;0;0;0;0;0;0
PARQUE PURIFICACIÓN TOMÁS;2007;6;2;0;0;0;0;0;0
PLAZA DE TOROS           ;2015;0;0;0;0;0;0;0;1
PLAZA DE TOROS           ;2013;3;1;1;0;0;0;0;0
PLAZA DE TOROS           ;2005;70* ;0;0;0;0;0;0;9
TRUBIA                   ;2007;9;3;0;0;0;0;0;0
TRUBIA                   ;2009;6;0;0;0;0;0;0;1
PALACIO DE DEPORTES      ;2007;74* ;0;0;0;3;0;0;0
PALACIO DE DEPORTES      ;2005;127*;1;0;0;1;0;0;2
PARQUE PURIFICACIÓN TOMÁS;2012;8;0;0;0;0;0;0;7
PLAZA DE TOROS           ;2010;5;1;0;0;0;0;0;0
PALACIO DE DEPORTES      ;2013;33;0;0;0;1;0;0;0
PLAZA DE TOROS           ;2012;10;0;0;0;0;0;0;3
PLAZA DE TOROS           ;2008;3;0;0;0;2;0;0;0
TRUBIA                   ;2011;1;0;0;0;0;0;1;6
PARQUE PURIFICACIÓN TOMÁS;2014;4;0;0;0;0;0;0;1
PARQUE PURIFICACIÓN TOMÁS;2005;45* ;2;0;0;0;0;0;6
PALACIO DE DEPORTES      ;2014;25;0;0;0;0;0;0;1
PALACIO DE DEPORTES      ;2012;35;0;0;0;0;0;0;5
PALACIO DE DEPORTES      ;2010;35;0;0;0;0;0;0;0
TRUBIA                   ;2014;6;0;0;0;0;0;0;1
PALACIO DE DEPORTES      ;2008;15;0;0;0;0;0;0;0
